Chinese,Jyutping,Yale,POS,English
試,si3,si,V,to try
點心,dim2sam1,dímsām,N,dimsum
地道,dei6dou6,deihdouh,Adj,with local taste
茶樓,caa4lau4,chàhlàuh,N,tea house
種類,zung2leoi6,júngleuih,N,"type, kind"
而且,ji4ce2,yìhché,Adv,furthermore
服務,fuk6mou6,fuhkmouh,N,service
唔記得,m4gei3dak1,m̀hgeidāk,PH,forgot
左右,zo2jau2,jóyáu,Adv,approximately
離,lei4,lèih,Adv,apart
遠,jyun5,yúhn,Adj,far
點樣,dim2joeng2,dímyéung,QW,how
坐,co5,chóh,V,"to sit, to take vehicle"
中午,zung1ng5,jūngnǵh,TW,noon
諗,nam2,nám,V,to think
附近,fu6gan6,fuhgahn,TW,nearby
對面,deoi3min6,deui'mihn,TW,opposite to
訂位,deng6wai2,dehngwái,V,to make reservation
點解,dim2gaai2,dímgáai,QW,why
起身,hei2san1,héisān,V,to wake up
唔舒服,m4 syu1fuk6,m̀h syūfuhk,PH,not feeling well
病咗,beng6 zo2,behng jó,PH,be sick
頭痛,tau4tung3,tàuhtung,N,headache
發燒,faat3siu1,faatsīu,V,to have fever
肚,tou5,tóuh,N,belly
睇醫生,tai2ji1saang1,táiyīsāang,V,to see doctor
餅乾,beng2gon1,bénggōn,N,biscuits
或者,waak6ze2,waahkjé,Adv,"or, maybe"
麵包,min6baau1,mihnbāau,N,bread
入咗醫院,jap6 zo2 ji1jyun2,yahp jó yīyún,PH,to be hospitalized
留院,lau4jyun2,làuhyún,V,to stay in hospital
胃痛,wai6tung3,waihtung,N,stomachache
犀利,sai1lei6,sāileih,Adj,serious
送,sung3,sung,V,to send
大概,daai6koi2,daaihkói,Adv,"about, approximately"
感冒,gam2mou6,gámmouh,N,flu
打咗針,daa2 zo2 zam1,dá jó jām,Ph,injected
藥,joek6,yeuhk,N,medicine
