Chinese,Jyutping,Yale,POS,English
局長,guk6zoeng2,guhkjéung,N,Director of Bureau
業界嘅朋友,jip6gaai3 ge3 pang4jau5,yihpgaai ge pàhngyáuh,PH,friends from the industry
來賓,loi4ban1,lòihbān,N,guest
同行,tung4hang4,tùhnghàhng,N,people of the same industry
劉家寶,lau4 gaa1 bou2,làuh gā bóu,PN,Lau Ka-po
香港旅遊發展局,hoeng1gong2 leoi5jau4 faat3zin2 guk6,hēunggóng léuihyàuh faatjín guhk,PN,Hong Kong Tourism Board
東方之珠,dung1fong1zi1zyu1,dūngfōngjījyū,PN,Pearl of the Orient
市區,si5keoi1,síhkēui,PW,urban area
離島,lei4dou2,lèihdóu,PW,Outlying island(s)
東平洲,dung1ping4 zau1,dūngpìhng jāu,PW,Tung Ping Chau
郊野公園,gaau1je5gung1jyun2,gāauyéhgūngyún,PW,country park
地質公園,dei6zat1 gung1jyun2,deihjāt gūngyún,PW,geopark
