Chinese,Jyutping,Yale,POS,English
有代表性,jau5 doi6biu2sing3,yáuh doihbíusing,Adj,typical
菜系,coi3 hai6,choi haih,N,cuisine
蒸,zing1,jīng,V,to steam
漁村,jyu4cyun1,yùhchyūn,N,fishing village
街市,gaai1si5,gāaisíh,N,wet market
海水污染,hoi2seoi2 wu1jim5,hóiséui wūyíhm,PH,marine pollution
保持,bou2ci4,bóuchìh,V,"to keep, to maintain"
供應,gung1jing3,gūngying,N/V,supply; to supply
碼頭,maa5tau4,máhtàuh,N,pier
養,joeng5,yéuhng,V,to keep (animals)
衛生,wai6sang1,waihsāng,Adj/N,hygienic; hygiene
嚴格,jim4gaak3,yìhmgaak,Adj,strict
標準,biu1zeon2,bīujéun,Adj/N,standard
體驗,tai2jim6,táiyihm,N/V,"experience; to learn through practice, to learn through one's personal experience"
欣賞,jan1soeng2,yānséung,V,"to admire, to appreciate"
推介,teoi1gaai3,tēuigaai,N/V,recommendation; to recommend
遊客,jau4haak3,yàuhhaak,N,tourist
曬乾,saai3gon1,saaigōn,RV,to dry in the sun
變成,bin3sing4,binsìhng,RV,"to become, to change into"
保留,bou2lau4,bóulàuh,V,"to reserve, to retain"
貿易中心,mau6jik6zung1sam1,mauhyihkjūngsām,N,trade centre
人來人往,jan4loi4jan4wong5,yàhnlòihyàhnwóhng,PH,many people hurrying back and forth
提議,tai4ji5,tàihyíh,N/V,"suggestion; to suggest, to propose"
手信,sau2seon3,sáuseun,N,souvenir
舊建築,gau6 gin3zuk1,gauh ginjūk,N,old building and structure
另一面,ling6jat1 min6,lihngyāt mihn,PH,the other side
