Chinese,Jyutping,Yale,POS,English
請假,ceng2gaa3,chéngga,VO,request leave of absence
痛,tung3,tung,Adj,ache; have a pain; be sore
聾聾哋,lung4 lung4 dei2,lùhng lùhng déi,Adj,deafish; rather hard of hearing
睇西醫,tai2 sai1ji1,tái sāiyī,VO,see a doctor; consult a doctor (as distinguished from traditional Chinese medicine)
中醫,zung1ji1,jūngyī,N,practitioner of traditional Chinese medicine; Chinese doctor
食藥,sik6joek6,sihkyeuhk,VO,take medicine/drug/remedy
搽藥膏,caa4joek6gou1,chàhyeuhkgōu,VO,apply ointment
改變,goi2bin3,góibin,V/N,change; alter; transform
好返,hou2 faan1,hóu fāan,RV,recover from illness
前(嗰)排,cin4 ( go2 ) paai4,chìhn ( gó ) pàaih,TW,previously
近排/最近,gan6paai2 / zeoi3gan6,gahnpáai / jeuigahn,TW,recently; lately
暫時,zaam6si4,jaahmsìh,Adj/Adv,temporary; temporarily; for the time being; for the moment
解決,gaai2kyut3,gáai'kyut,V,solve; resolve
以後,ji5hau6,yíhhauh,TW,hereafter; afterwards; later
苦茶/涼茶,fu2caa4/ loeng4caa4,fúchàh/ lèuhngchàh,N,Chinese herbal tea
簡單,gaan2daan1,gáandāan,Adj,"simple, not complicated"
多數,do1sou3,dōsou,Adv,for the most part; mostly
即係,zik1hai6,jīkhaih,Adv,"same as; exactly as; equivalent to; which means or ""which is to say"""
嗱,laa4,làh,P,"an interjection serves to seek the addressee's attention; ""there!""; ""you see"""
討論區,tou2leon6keoi1,tóuleuhnkēui,N,forum (especially online)
健康,gin6hong1,gihnhōng,N/Adj,health; healthy
後生,hau6saang1,hauhsāang,Adj/N,"young, young generation, youth"
執藥,zap1joek6,jāpyeuhk,VO,get a prescription; get Chinese medicine
千祈,cin1kei4,chīnkèih,Adv,have to; must; need; be sure to
犀利,sai1lei6,sāileih,Adj,awesome; excellent; strong
