Chinese,Jyutping,Yale,POS,English
瑪麗,maa5lai6,máhlaih,PN,Mary
琪琪,kei4 kei4,kèih kèih,PN,Kate
浴缸,juk6gong1,yuhkgōng,N/PW,bathtub
酒店式公寓/酒店式住宅,zau2dim3 sik1 gung1jyu6 / zau2dim3 sik1 zyu6zaak2,jáudim sīk gūngyuh / jáudim sīk jyuhjáak,N/PW,serviced apartment
書房,syu1fong2,syūfóng,N/PW,study room
超級市場,ciu1kap1si5coeng4,chīu'kāpsíhchèuhng,N/PW,supermarket
街市,gaai1si5,gāaisíh,N/PW,food market; wet market
體育館,tai2juk6gun2,táiyuhkgún,N/PW,sports centre; gymnasium
快餐店,faai3caan1dim3,faaichāandim,N/PW,fast food shop
大家樂,daai6gaa1lok6,daaihgālohk,N/PW,"Cafe De Coral, a famous local fast food shop established in 1968."
茶餐廳,caa4caan1teng1,chàhchāantēng,N/PW,"Literal meaning is ""tea restaurant"". It serves fast food from Hong Kong cuisine and Hong Kong-style Western cuisine."
屋邨(M:個),uk1cyun1 ( em1 : go3 ),ūkchyūn ( ēm : go ),N/PW,housing estate
市政大樓 (M:座),si5zing3 daai6lau4 ( em1 : zo6 ),síhjing daaihlàuh ( ēm : joh ),N/PW,municipal services building
泳池,wing6ci4,wihngchìh,N/PW,swimming pool
,gung1 zok6 sat1 ,,,studio
