Chinese,Jyutping,Yale,POS,English
跟(旅行)團,gan1 ( leoi5hang4 ) tyun4,gān ( léuihhàhng ) tyùhn,VO,travel with tour group
行(路),haang4 ( lou6 ),hàahng ( louh ),V(O),walk
路程,lou6cing4,louhchìhng,N,distance travelled; journey
買飛,maai5 fei1,máaih fēi,VO,buy tickets
隨時,ceoi4si4,chèuihsìh,Adv,at any time
行李,hang4lei5,hàhngléih,N,luggage; baggage
拖篋,to1 gip1,tō gīp,VO,pull or drag small suitcase
捎背囊,saau1 bui3nong4,sāau bui'nòhng,VO,carry knapsack on the back
行程,hang4cing4,hàhngchìhng,N,route; itinerary
催,ceoi1,chēui,V,urge; hurry; press
始終,ci2zung1,chíjūng,Adv,from beginning to end; after all
安全,on1cyun4,ōnchyùhn,Adj/N,safe; secure; safety
可能,ho2nang4,hó'nàhng,Adv,perhaps; maybe; likely
的士司機,dik1si2si1gei1,dīksísīgēi,Adj,taxi driver
有辦法,jau5baan6faat3,yáuhbaahnfaat,N,there is no way
當,dong1,dōng,PH,treat as; regard as; take for
聰明,cung1ming4,chūngmìhng,V,clever; intelligent; bright
有趣,jau5ceoi3,yáuhcheui,Adj,interesting; fascinating; amusing
難得,naan4dak1,nàahndāk,Adj,hard to come by; rare
即刻,zik1haak1,jīkhāak,Adj,at once; immediately; instantly
地道小食,dei6dou6 siu2sik6,deihdouh síusihk,Adv,local and genuine snacks
雪,syut3,syut,N,snow
使錢,sai2cin2,sáichín,N,spend money
普飛,pou2fei1,póufēi,VO,buffet
辛苦,san1fu2,sānfú,N,strenuous; toilsome; exhausting; go to a lot of trouble
睇吓,tai2 haa2,tái há,Adv,that depends on ...
周圍,zau1wai4,jāuwàih,Adv,surroundings; everywhere; all over the place
逼,bik1,bīk,V/Adj,jostle; push; squeeze; crowded
上網,soeng5mong5,séuhngmóhng,VO,get on the internet
浪漫,long6maan6,lohngmaahn,Adj,romantic
老老實實,lou5lou5sat6sat6,lóuhlóuhsahtsaht,Adv,"reduplication of adjective ""lóuhsaht"" in the form of ""AABB""; honestly; conscientiously; frankly"
