Chinese,Jyutping,Yale,POS,English
保羅,bou2lo4,bóulòh,PN,Paul
阿May,aa3 May,a May,PN,May
雯雯,man4 man4,màhn màhn,PN,Mandy
阿寶,aa3 bou2,a bóu,PN,Bowie
街邊,gaai1bin1,gāaibīn,N/PW,street side
涼茶舖,loeng4caa4pou2,lèuhngchàhpóu,PW,herbal tea shop
馬鞍山,maa5on1saan1,máh'ōnsāan,PW,Ma On Shan
金鐘,gam1zung1,gāmjūng,PW,"Admiralty, Hong Kong"
燒烤場,siu1haau1 coeng4,sīu'hāau chèuhng,N/PW,barbecue site
健身中心/健身室,gin6san1 zung1sam1 / gin6san1sat1,gihnsān jūngsām / gihnsānsāt,N/PW,fitness centre; gymnasium
地點,dei6dim2,deihdím,PW,place; site
室內高爾夫球場,sat1noi6 gou1ji5fu1kau4coeng4,sātnoih gōuyíhfū'kàuhchèuhng,N/PW,indoor golf room
辦公室,baan6gung1sat1,baahngūngsāt,N/PW,office
